x,y,frame,particle
78.05882352941177,8.727941176470589,0,0
138.75,472.10714285714283,0,1
123.89830508474576,471.50847457627117,0,2
467.425,452.425,0,3
298.1397058823529,380.95588235294116,0,4
288.43971631205676,381.29787234042556,0,5
455.64925373134326,458.1119402985075,0,6
178.109375,336.2265625,0,7
294.31609195402297,149.79310344827587,0,8
132.1818181818182,66.29545454545455,0,9
119.78873239436619,64.64788732394366,0,10
187.36220472440945,336.3937007874016,0,11
292.7692307692308,380.54615384615386,1,5
463.8488372093023,471.30232558139534,1,13
137.40740740740742,470.41975308641975,1,1
123.42857142857143,469.5054945054945,1,2
466.3796296296296,450.89814814814815,1,3
450.80128205128204,452.06410256410254,1,6
186.75520833333334,336.9479166666667,1,11
449.48837209302326,474.3255813953488,1,12
291.8305084745763,150.8418079096045,1,8
133.53658536585365,138.609756097561,1,14
115.98214285714286,69.19642857142857,1,10
131.65555555555557,65.26666666666667,1,9
334.0243902439024,31.317073170731707,1,15
351.6981132075472,30.37735849056604,1,16
77.17829457364341,7.674418604651163,1,0
177.02857142857144,336.33714285714285,1,7
137.7906976744186,467.72093023255815,2,1
465.8348623853211,449.6330275229358,2,3
297.21,379.505,2,4
287.1865284974093,381.0,2,5
187.3221476510067,334.20805369127515,2,11
448.54117647058825,445.77647058823527,2,6
290.89473684210526,150.88888888888889,2,8
133.0222222222222,139.7111111111111,2,14
132.53968253968253,65.22222222222223,2,9
351.225,30.675,2,16
76.88617886178862,7.365853658536586,2,0
177.27906976744185,336.54651162790697,2,7
137.5,468.5,3,1
465.8157894736842,449.29824561403507,3,3
449.04651162790697,446.1046511627907,3,6
297.2323232323232,380.37373737373736,3,4
286.84574468085106,380.8829787234043,3,5
186.94972067039106,335.7150837988827,3,11
290.53714285714284,150.81142857142856,3,8
132.04918032786884,64.57377049180327,3,9
76.74803149606299,7.3858267716535435,3,0
176.47101449275362,335.3188405797101,3,7
286.56315789473683,381.5,4,5
465.6454545454545,449.7181818181818,4,3
449.7011494252874,447.5632183908046,4,6
296.95,381.445,4,4
176.09032258064516,338.23870967741937,4,7
120.46808510638297,469.70212765957444,4,2
289.88557213930346,149.2636815920398,4,8
132.10204081632654,140.6530612244898,4,14
131.23880597014926,64.88059701492537,4,9
333.5,29.5,4,15
76.50375939849624,7.413533834586466,4,0
186.48951048951048,334.09090909090907,4,11
465.4947368421053,450.37894736842105,5,3
449.31944444444446,445.5416666666667,5,6
296.92857142857144,381.1098901098901,5,4
286.53757225433526,380.73410404624275,5,5
176.0653594771242,338.5424836601307,5,7
289.5939086294416,148.4771573604061,5,8
131.9387755102041,140.77551020408163,5,14
123.51327433628319,69.47787610619469,5,10
76.3,7.469230769230769,5,0
186.8695652173913,334.295652173913,5,11
297.02941176470586,381.1372549019608,6,4
465.0952380952381,450.92857142857144,6,3
286.2429906542056,381.2616822429907,6,5
176.01030927835052,338.16494845360825,6,7
123.41610738255034,68.78523489932886,6,10
289.1794871794872,149.26666666666668,6,8
76.05511811023622,7.874015748031496,6,0
186.78082191780823,333.90410958904107,6,11
76.0390625,7.8515625,7,0
123.3226837060703,68.89456869009585,7,10
290.47474747474746,151.26767676767676,7,8
186.320987654321,334.2716049382716,7,11
175.51685393258427,340.3258426966292,7,7
296.86138613861385,380.7524752475247,7,4
286.1067961165049,382.28155339805824,7,5
464.5,449.4761904761905,7,3
296.57615894039736,381.1324503311258,8,4
448.1857142857143,443.84285714285716,8,6
464.0892857142857,450.625,8,3
285.91503267973854,381.58169934640523,8,5
131.47619047619048,141.92857142857142,8,14
186.35294117647058,332.9901960784314,8,11
290.51704545454544,152.2840909090909,8,8
75.73880597014926,7.768656716417911,8,0
175.31007751937983,337.5658914728682,8,7
463.73809523809524,452.35714285714283,9,3
448.0285714285714,442.9,9,6
296.5890410958904,380.8424657534247,9,4
285.8581560283688,381.64539007092196,9,5
175.2920353982301,336.9026548672566,9,7
186.40384615384616,333.36538461538464,9,11
289.3783783783784,150.33445945945945,9,8
131.4390243902439,142.53658536585365,9,14
75.70714285714286,7.921428571428572,9,0
447.6296296296296,441.9166666666667,10,6
463.51785714285717,451.26785714285717,10,3
296.6081081081081,380.8243243243243,10,4
285.7818181818182,380.2060606060606,10,5
175.25384615384615,338.44615384615383,10,7
116.7536231884058,69.01449275362319,10,10
131.71666666666667,143.11666666666667,10,14
288.99043062200957,145.8133971291866,10,8
127.19148936170212,62.829787234042556,10,9
75.55319148936171,7.822695035460993,10,0
186.4453781512605,334.9159663865546,10,11
186.19727891156464,334.7755102040816,11,11
463.5308641975309,450.04938271604937,11,3
447.448,441.488,11,6
296.68926553672316,380.17514124293785,11,4
175.31543624161074,339.2953020134228,11,7
131.7462686567164,143.61194029850745,11,14
